2021-02-25 07:03:50, 2021-02-25 07:06:22, label_0: The duration is 2 minutes 32 seconds
2021-02-25 07:06:06, 2021-02-25 07:08:00, label_1: The duration is 1 minutes 54 seconds
2021-02-25 06:54:39, 2021-02-25 07:06:06, label_2: The duration is 11 minutes 27 seconds
2021-02-25 07:06:35, 2021-02-25 07:07:21, label_0: The duration is 46 seconds
2021-02-25 07:07:35, 2021-02-25 07:12:30, label_0: The duration is 4 minutes 55 seconds
2021-02-25 07:09:51, 2021-02-25 07:10:10, label_3: The duration is 19 seconds
2021-02-25 07:10:10, 2021-02-25 07:11:33, label_3: The duration is 1 minutes 23 seconds
2021-02-25 07:12:30, 2021-02-25 07:18:43, label_3: The duration is 6 minutes 13 seconds
2021-02-25 07:13:56, 2021-02-25 07:18:34, label_0: The duration is 4 minutes 38 seconds
2021-02-25 07:08:00, 2021-02-25 07:14:33, label_2: The duration is 6 minutes 33 seconds
2021-02-25 07:14:33, 2021-02-25 07:14:43, label_1: The duration is 10 seconds
2021-02-25 07:14:43, 2021-02-25 07:15:08, label_4: The duration is 25 seconds
2021-02-25 07:15:08, 2021-02-25 07:15:25, label_1: The duration is 17 seconds
2021-02-25 07:15:25, 2021-02-25 07:16:16, label_4: The duration is 51 seconds
2021-02-25 07:16:16, 2021-02-25 07:16:37, label_2: The duration is 21 seconds
2021-02-25 07:16:37, 2021-02-25 07:17:05, label_4: The duration is 28 seconds
2021-02-25 07:17:05, 2021-02-25 07:18:06, label_2: The duration is 1 minutes 1 seconds
2021-02-25 07:18:08, 2021-02-25 07:19:04, label_4: The duration is 56 seconds
2021-02-25 07:19:04, 2021-02-25 07:40:24, label_2: The duration is 21 minutes 20 seconds
2021-02-25 07:16:43, 2021-02-25 07:22:08, label_3: The duration is 5 minutes 25 seconds
2021-02-25 07:22:20, 2021-02-25 07:23:51, label_0: The duration is 1 minutes 31 seconds
2021-02-25 07:44:52, 2021-02-25 07:45:00, label_5: The duration is 8 seconds
2021-02-25 07:45:07, 2021-02-25 07:45:18, label_5: The duration is 11 seconds
2021-02-25 07:45:07, 2021-02-25 07:45:18, label_5: The duration is 11 seconds
2021-02-25 07:45:26, 2021-02-25 07:45:41, label_5: The duration is 15 seconds
2021-02-25 07:45:46, 2021-02-25 07:45:55, label_5: The duration is 9 seconds
2021-02-25 07:46:04, 2021-02-25 07:46:31, label_5: The duration is 27 seconds
2021-02-25 07:46:36, 2021-02-25 07:46:45, label_1: The duration is 9 seconds
2021-02-25 07:47:04, 2021-02-25 07:47:07, label_1: The duration is 3 seconds
2021-02-25 07:46:51, 2021-02-25 07:47:02, label_5: The duration is 11 seconds
2021-02-25 07:48:56, 2021-02-25 07:49:51, label_1: The duration is 55 seconds
2021-02-25 07:47:17, 2021-02-25 07:47:27, label_1: The duration is 10 seconds
2021-02-25 07:47:51, 2021-02-25 07:48:56, label_5: The duration is 1 minutes 5 seconds
2021-02-25 07:49:12, 2021-02-25 07:49:49, label_1: The duration is 37 seconds
2021-02-25 07:49:51, 2021-02-25 07:51:21, label_5: The duration is 1 minutes 30 seconds
2021-02-25 07:50:41, 2021-02-25 07:51:05, label_2: The duration is 24 seconds
2021-02-25 07:51:21, 2021-02-25 07:51:40, label_1: The duration is 19 seconds
2021-02-25 07:51:40, 2021-02-25 07:53:56, label_5: The duration is 2 minutes 16 seconds
2021-02-25 07:53:56, 2021-02-25 07:54:27, label_1: The duration is 31 seconds
2021-02-25 07:55:09, 2021-02-25 07:56:06, label_5: The duration is 57 seconds
2021-02-25 07:55:12, 2021-02-25 07:55:24, label_1: The duration is 12 seconds
2021-02-25 07:55:55, 2021-02-25 07:56:11, label_1: The duration is 16 seconds
2021-02-25 07:56:17, 2021-02-25 07:57:47, label_2: The duration is 1 minutes 30 seconds
2021-02-25 07:57:00, 2021-02-25 08:06:00, label_5: The duration is 9 minutes 0 seconds
2021-02-25 08:10:40, 2021-02-25 08:22:31, label_5: The duration is 11 minutes 51 seconds
2021-02-25 08:11:56, 2021-02-25 08:12:22, label_1: The duration is 26 seconds
2021-02-25 08:10:40, 2021-02-25 08:22:31, label_6: The duration is 11 minutes 51 seconds
2021-02-25 08:41:06, 2021-02-25 08:41:13, label_1: The duration is 7 seconds
2021-02-25 08:41:10, 2021-02-25 08:46:10, label_5: The duration is 5 minutes 0 seconds
2021-02-25 08:46:18, 2021-02-25 08:53:40, label_2: The duration is 7 minutes 22 seconds
2021-02-25 08:48:15, 2021-02-25 08:50:20, label_7: The duration is 2 minutes 5 seconds
2021-02-25 08:50:25, 2021-02-25 08:50:43, label_7: The duration is 18 seconds
2021-02-25 08:50:43, 2021-02-25 08:53:07, label_7: The duration is 2 minutes 24 seconds
2021-02-25 08:53:10, 2021-02-25 08:53:13, label_7: The duration is 3 seconds
2021-02-25 08:53:19, 2021-02-25 08:53:22, label_7: The duration is 3 seconds
2021-02-25 08:53:59, 2021-02-25 08:55:27, label_7: The duration is 1 minutes 28 seconds
2021-02-25 08:53:40, 2021-02-25 08:54:40, label_4: The duration is 1 minutes 0 seconds
2021-02-25 08:54:40, 2021-02-25 09:10:20, label_2: The duration is 15 minutes 40 seconds
2021-02-25 09:03:46, 2021-02-25 09:05:08, label_7: The duration is 1 minutes 22 seconds
2021-02-25 09:13:00, 2021-02-25 09:21:29, label_6: The duration is 8 minutes 29 seconds
2021-02-25 09:10:20, 2021-02-25 09:14:00, label_2: The duration is 3 minutes 40 seconds
2021-02-25 09:14:00, 2021-02-25 09:15:00, label_5: The duration is 1 minutes 0 seconds
2021-02-25 09:15:00, 2021-02-25 09:15:20, label_2: The duration is 20 seconds
2021-02-25 09:15:20, 2021-02-25 09:21:29, label_5: The duration is 6 minutes 9 seconds
2021-02-25 09:21:29, 2021-02-25 09:24:35, label_5: The duration is 3 minutes 6 seconds
2021-02-25 09:24:35, 2021-02-25 09:25:00, label_4: The duration is 25 seconds
2021-02-25 09:25:00, 2021-02-25 09:26:21, label_2: The duration is 1 minutes 21 seconds
2021-02-25 09:24:45, 2021-02-25 09:26:20, label_7: The duration is 1 minutes 35 seconds
2021-02-25 09:26:26, 2021-02-25 09:26:38, label_5: The duration is 12 seconds
2021-02-25 09:27:09, 2021-02-25 09:27:34, label_5: The duration is 25 seconds
